,incident_id,mine_type,mine_location,country,worker_age,years_experience,employment_type,job_title,gender,incident_date,day_of_week,incident_time,shift_type,hours_into_shift,equipment_involved,task_at_incident,injury_mechanism,injury_type,body_part_injured,injury_severity,ppe_worn
53,INC-44084298,artisanal,surface,ghana,26,10.0,operator,other,female,2022-08-13,wednesday,11.76,morning,1.3,mobile_equipment,maintenance_repair,pit_collapse,laceration,head_face,permanent_disability,none
54,INC-6571B393,artisanal,underground,drc,38,8.0,operator,other,male,2023-08-11,tuesday,21.21,evening,3.1,none,other,other,abrasion,multiple,fatality,none
55,INC-499B3893,artisanal,surface,south_africa,36,17.4,operator,truck_operator,male,2022-12-26,saturday,12.54,morning,7.2,light_vehicle,cleaning_clearing,other,abrasion,torso,first_aid,none
56,INC-43CF5AFE,formal_small,surface,south_africa,46,28.0,contractor,welder,male,2023-08-16,thursday,12.78,morning,0.9,haul_truck,operating_equipment,vehicle_motion,amputation,hand_finger,first_aid,none
57,INC-2DC186DC,formal_small,surface,ghana,54,11.5,operator,truck_operator,male,2020-12-11,thursday,12.72,morning,8.9,components_parts,operating_equipment,struck_by_object,multiple,foot_lower_leg,days_away,full
58,INC-8191B3AF,formal_large,surface,tanzania,44,19.6,operator,mechanic_repairman,male,2020-09-07,tuesday,13.33,morning,6.2,components_parts,cleaning_clearing,struck_by_object,amputation,upper_extremity,restricted_work,full
59,INC-CB161698,formal_large,surface,other,34,16.0,operator,excavator_operator,male,2022-09-06,friday,9.41,morning,2.5,mobile_equipment,other,struck_by_object,fracture,multiple,first_aid,full
60,INC-F9F7A8CB,artisanal,surface,other,32,7.8,operator,mechanic_repairman,female,2024-12-13,wednesday,12.81,morning,3.9,components_parts,maintenance_repair,struck_by_object,contusion,hand_finger,days_away,none
61,INC-0FE1BB73,formal_small,surface,zimbabwe,33,15.0,operator,mechanic_repairman,male,2021-12-25,thursday,13.82,morning,0.2,hand_tools,other,other,multiple,head_face,days_away,full
62,INC-353AA407,formal_small,surface,drc,34,8.7,contractor,other,male,2023-08-25,wednesday,9.29,morning,7.7,light_vehicle,directing_equipment,struck_by_object,laceration,upper_extremity,first_aid,partial
63,INC-2CA5FA84,artisanal,surface,south_africa,26,7.0,operator,supervisor,male,2024-12-14,friday,12.69,morning,6.3,mobile_equipment,other,other,abrasion,upper_extremity,restricted_work,none
64,INC-217121E5,artisanal,underground,ethiopia,31,15.0,operator,supervisor,male,2020-06-22,tuesday,11.22,morning,4.3,none,other,hit_by_moving,abrasion,hand_finger,days_away,none
65,INC-57CB2CB0,formal_small,surface,other,57,14.7,operator,other,male,2020-04-28,saturday,9.95,morning,0.1,mobile_equipment,maintenance_repair,hit_by_moving,laceration,multiple,restricted_work,full
66,INC-D03B6236,formal_small,surface,ghana,42,8.3,operator,truck_operator,male,2023-04-21,monday,12.43,morning,6.1,components_parts,maintenance_repair,fall_slip,multiple,upper_extremity,days_away,full
67,INC-A88325CD,formal_large,surface,other,27,9.0,operator,other,male,2024-03-15,tuesday,16.63,evening,1.1,light_vehicle,operating_equipment,trapped_between,multiple,torso,temporary_disability,full
68,INC-4404AA7E,formal_large,surface,south_africa,46,25.4,operator,truck_operator,female,2023-05-07,friday,9.49,morning,0.4,components_parts,other,fall_slip,amputation,torso,temporary_disability,full
69,INC-BF637F32,formal_small,surface,south_africa,44,15.7,operator,mechanic_repairman,male,2024-12-30,friday,15.43,evening,9.4,none,other,trapped_between,burns,hand_finger,days_away,full
70,INC-17A187C7,formal_large,surface,zimbabwe,38,13.7,operator,welder,male,2020-03-09,wednesday,12.88,morning,11.3,mobile_equipment,operating_equipment,trapped_between,laceration,hand_finger,temporary_disability,full
71,INC-CB918DA5,formal_small,surface,other,33,15.0,operator,excavator_operator,male,2022-09-15,wednesday,11.49,morning,4.3,haul_truck,cleaning_clearing,other,multiple,multiple,days_away,full
72,INC-E1CD3204,artisanal,surface,ghana,42,0.3,operator,welder,male,2023-07-16,friday,7.8,morning,0.3,haul_truck,lifting_lowering,other,abrasion,foot_lower_leg,first_aid,none
73,INC-EC7C5CFF,formal_large,surface,drc,32,14.0,operator,supervisor,female,2023-05-27,friday,10.59,morning,11.4,mobile_equipment,operating_equipment,hit_by_moving,laceration,hand_finger,days_away,none
74,INC-993991E3,formal_large,underground,south_africa,53,9.3,operator,driller,male,2020-03-03,sunday,6.0,morning,7.8,earth_moving,drilling,fall_from_height,laceration,torso,days_away,full
75,INC-8D50080D,formal_large,surface,tanzania,45,27.0,operator,truck_operator,male,2020-08-21,wednesday,11.66,morning,1.6,light_vehicle,other,trapped_between,burns,upper_extremity,first_aid,none
76,INC-CF558192,formal_large,surface,ethiopia,47,29.0,contractor,other,male,2024-12-24,monday,11.36,morning,6.6,mobile_equipment,other,vehicle_motion,laceration,hand_finger,first_aid,full
77,INC-A8E1F53F,artisanal,surface,south_africa,23,7.0,operator,mechanic_repairman,male,2021-10-02,friday,13.12,morning,2.6,mobile_equipment,cleaning_clearing,struck_by_object,abrasion,hand_finger,temporary_disability,none
78,INC-754E80E3,formal_small,surface,tanzania,45,27.0,operator,laborer,male,2020-12-01,wednesday,11.75,morning,3.0,mobile_equipment,maintenance_repair,hit_by_moving,fracture,hand_finger,permanent_disability,partial
79,INC-39583DE9,artisanal,underground,tanzania,25,7.8,operator,other,male,2020-11-27,tuesday,12.27,morning,5.4,drill_rig,other,hit_by_moving,other,torso,days_away,none
80,INC-AE853413,artisanal,surface,zimbabwe,26,5.1,operator,other,male,2020-11-09,friday,11.1,morning,0.4,mobile_equipment,maintenance_repair,pit_collapse,abrasion,head_face,restricted_work,full
81,INC-E986031C,formal_small,surface,south_africa,46,16.9,contractor,excavator_operator,female,2022-12-01,friday,15.3,evening,6.4,mobile_equipment,lifting_lowering,other,laceration,head_face,restricted_work,none
82,INC-1CDAEF27,artisanal,surface,south_africa,27,6.9,operator,other,female,2022-07-08,thursday,15.45,evening,7.0,mobile_equipment,other,struck_by_object,abrasion,head_face,days_away,none
83,INC-B9291A69,formal_large,surface,other,38,17.9,contractor,laborer,male,2024-09-16,wednesday,14.08,evening,10.2,haul_truck,directing_equipment,other,burns,hand_finger,days_away,partial
84,INC-60B2D954,formal_large,underground,tanzania,41,10.4,operator,laborer,male,2022-05-21,thursday,13.12,morning,2.3,drill_rig,charging_up,struck_by_rock,other,head_face,days_away,full
85,INC-625005D5,formal_large,surface,drc,54,36.0,operator,mechanic_repairman,male,2020-02-24,tuesday,12.21,morning,2.9,mobile_equipment,other,other,burns,multiple,days_away,partial
86,INC-59CE5C46,artisanal,underground,tanzania,30,14.0,operator,blaster,male,2022-08-25,friday,11.24,morning,7.8,none,other,fall_from_height,abrasion,upper_extremity,days_away,none
87,INC-70E3B15B,formal_small,surface,drc,56,21.9,operator,laborer,male,2022-06-21,friday,10.46,morning,6.5,mobile_equipment,other,other,laceration,foot_lower_leg,days_away,partial
88,INC-5A48AC04,formal_large,underground,south_africa,31,13.0,operator,other,male,2021-08-21,wednesday,10.05,morning,6.7,drill_rig,other,struck_by_rock,multiple,foot_lower_leg,fatality,full
89,INC-C5CAF57D,formal_small,surface,zimbabwe,41,17.5,operator,laborer,male,2023-08-14,saturday,9.47,morning,11.7,mobile_equipment,other,other,laceration,multiple,days_away,full
90,INC-6E3FDEBF,formal_large,surface,tanzania,50,15.9,operator,mechanic_repairman,female,2024-09-14,sunday,12.96,morning,5.6,haul_truck,directing_equipment,hit_by_moving,fracture,hand_finger,first_aid,full
91,INC-3C98F59B,artisanal,underground,south_africa,37,0.7,contractor,mechanic_repairman,male,2022-02-25,thursday,20.48,evening,9.7,earth_moving,other,other,other,head_face,days_away,none
92,INC-DA11E553,formal_small,surface,south_africa,60,12.6,operator,welder,female,2023-08-17,saturday,12.76,morning,4.9,none,other,trapped_between,amputation,hand_finger,days_away,partial
93,INC-74E4E1D8,formal_small,surface,ethiopia,59,39.3,operator,mechanic_repairman,male,2022-09-10,friday,11.14,morning,5.4,light_vehicle,operating_equipment,hit_by_moving,amputation,hand_finger,restricted_work,none
94,INC-D7CCE2C3,formal_large,underground,other,35,15.2,contractor,other,male,2023-08-19,thursday,12.91,morning,10.4,none,barring_scaling,other,fracture,head_face,fatality,full
95,INC-7BAB4531,artisanal,surface,tanzania,34,3.9,operator,truck_operator,female,2022-04-07,saturday,13.81,morning,2.5,components_parts,maintenance_repair,pit_collapse,other,hand_finger,days_away,none
96,INC-230E642C,formal_small,surface,south_africa,55,6.9,operator,other,male,2021-04-18,wednesday,12.72,morning,6.6,mobile_equipment,other,other,fracture,foot_lower_leg,first_aid,none
97,INC-DD0AB63C,formal_large,surface,other,43,25.0,operator,other,male,2022-12-27,saturday,10.63,morning,7.5,mobile_equipment,operating_equipment,fall_slip,contusion,upper_extremity,days_away,partial
98,INC-E85D85D6,formal_large,underground,south_africa,52,33.7,operator,driller,male,2021-12-17,tuesday,10.27,morning,6.7,none,charging_up,falling_object,multiple,foot_lower_leg,days_away,full
99,INC-0E73CF6E,artisanal,underground,south_africa,31,4.5,contractor,blaster,female,2020-05-05,wednesday,10.27,morning,7.8,earth_moving,other,other,fracture,multiple,fatality,partial
100,INC-A0836D39,artisanal,surface,other,32,7.4,contractor,laborer,male,2023-09-15,thursday,11.7,morning,11.7,haul_truck,operating_equipment,falling,contusion,upper_extremity,days_away,none
101,INC-8B9E20B9,artisanal,surface,drc,35,6.5,operator,truck_operator,female,2022-09-25,friday,14.76,evening,1.9,hand_tools,directing_equipment,falling,contusion,multiple,fatality,none
102,INC-B0DD52E1,formal_large,surface,other,50,14.8,contractor,truck_operator,male,2023-01-17,tuesday,13.16,morning,10.1,mobile_equipment,directing_equipment,fall_slip,laceration,foot_lower_leg,permanent_disability,full
103,INC-476FBF32,artisanal,surface,drc,19,3.0,operator,mechanic_repairman,male,2022-07-23,thursday,17.04,evening,9.8,mobile_equipment,maintenance_repair,other,laceration,upper_extremity,restricted_work,none
104,INC-7CFA26F4,artisanal,underground,tanzania,38,1.2,operator,laborer,female,2024-06-06,sunday,11.4,morning,1.8,rock_drill,other,other,fracture,torso,days_away,none
105,INC-D839A80E,artisanal,surface,ghana,25,9.0,operator,truck_operator,male,2020-11-28,wednesday,13.48,morning,3.1,haul_truck,other,other,abrasion,torso,days_away,none
106,INC-F1C26BF2,formal_small,surface,ghana,30,12.0,operator,supervisor,male,2020-05-26,wednesday,10.1,morning,6.7,mobile_equipment,operating_equipment,vehicle_motion,laceration,multiple,first_aid,full
107,INC-6CF7704B,formal_large,surface,other,48,10.6,operator,excavator_operator,male,2022-09-03,friday,11.45,morning,0.9,mobile_equipment,maintenance_repair,fall_slip,burns,multiple,temporary_disability,partial
108,INC-421E41E2,formal_large,surface,other,52,26.1,operator,welder,male,2024-05-07,saturday,12.34,morning,6.5,mobile_equipment,other,hit_by_moving,amputation,hand_finger,days_away,full
109,INC-5E233037,artisanal,underground,ghana,27,11.0,contractor,supervisor,male,2022-04-25,wednesday,10.8,morning,4.1,earth_moving,other,falling_object,abrasion,head_face,days_away,none
110,INC-E2210185,formal_small,surface,ghana,42,24.0,operator,mechanic_repairman,male,2022-02-04,saturday,9.47,morning,8.1,components_parts,operating_equipment,trapped_between,laceration,foot_lower_leg,days_away,none
111,INC-CB1997C5,formal_large,surface,ghana,40,22.0,contractor,other,male,2022-12-19,wednesday,12.28,morning,0.7,mobile_equipment,cleaning_clearing,struck_by_object,contusion,foot_lower_leg,temporary_disability,full
112,INC-32457F32,formal_large,underground,ghana,28,10.0,operator,supervisor,male,2021-09-17,friday,12.34,morning,6.4,earth_moving,other,falling_object,multiple,foot_lower_leg,first_aid,full
113,INC-A43276AF,formal_small,underground,other,49,18.5,operator,laborer,male,2022-10-26,thursday,10.97,morning,11.5,drill_rig,drilling,hit_by_moving,fracture,multiple,days_away,full
114,INC-F35B0202,formal_large,surface,south_africa,44,26.0,operator,truck_operator,male,2024-10-28,friday,14.08,evening,4.3,mobile_equipment,maintenance_repair,struck_by_object,laceration,torso,temporary_disability,full
115,INC-C11A5DBD,artisanal,underground,ghana,33,8.2,operator,mechanic_repairman,male,2022-01-08,thursday,14.48,evening,0.2,components_parts,other,fall_from_height,fracture,head_face,days_away,none
116,INC-1993A601,artisanal,surface,other,30,6.7,contractor,truck_operator,male,2022-06-02,friday,12.27,morning,1.6,mobile_equipment,other,struck_by_object,laceration,multiple,permanent_disability,none
117,INC-2A0FA5D2,artisanal,underground,zimbabwe,34,7.5,operator,supervisor,male,2023-11-27,thursday,15.68,evening,6.1,rock_drill,barring_scaling,falling_object,abrasion,hand_finger,fatality,none
118,INC-F04E83A3,formal_small,surface,zimbabwe,34,10.3,operator,truck_operator,male,2023-05-13,wednesday,12.62,morning,2.7,mobile_equipment,maintenance_repair,struck_by_object,fracture,head_face,days_away,none
119,INC-FDD55607,artisanal,surface,ghana,31,6.1,operator,truck_operator,male,2021-10-14,sunday,12.77,morning,2.1,mobile_equipment,maintenance_repair,pit_collapse,abrasion,multiple,days_away,none
120,INC-FA59C313,formal_small,surface,south_africa,39,15.6,operator,laborer,male,2022-08-15,tuesday,10.18,morning,6.3,mobile_equipment,cleaning_clearing,struck_by_object,contusion,upper_extremity,days_away,full
121,INC-7C8E556F,artisanal,surface,south_africa,28,12.0,operator,laborer,male,2022-05-16,saturday,10.54,morning,6.6,mobile_equipment,maintenance_repair,falling,other,multiple,days_away,none
122,INC-E3074B2B,formal_large,surface,south_africa,44,22.9,contractor,laborer,male,2021-12-27,tuesday,14.9,evening,0.3,none,maintenance_repair,trapped_between,fracture,torso,temporary_disability,partial
123,INC-705CADAF,formal_small,surface,south_africa,37,19.0,operator,mechanic_repairman,male,2022-02-17,saturday,17.74,evening,7.5,mobile_equipment,operating_equipment,struck_by_object,burns,upper_extremity,first_aid,partial
124,INC-21517DD6,formal_large,surface,south_africa,43,9.5,operator,other,female,2020-01-30,friday,9.49,morning,5.9,haul_truck,cleaning_clearing,hit_by_moving,laceration,hand_finger,days_away,full
125,INC-5778DAF6,formal_small,surface,ghana,26,8.0,operator,laborer,male,2022-06-06,thursday,9.29,morning,5.9,mobile_equipment,other,trapped_between,burns,upper_extremity,fatality,partial
126,INC-FBE69A2B,formal_large,surface,south_africa,55,18.5,contractor,other,male,2021-07-27,monday,12.3,morning,6.2,mobile_equipment,cleaning_clearing,struck_by_object,contusion,head_face,fatality,full
127,INC-DE2E4B93,formal_large,surface,other,43,14.6,operator,mechanic_repairman,male,2024-01-01,tuesday,11.55,morning,4.0,mobile_equipment,other,hit_by_moving,laceration,hand_finger,first_aid,full
128,INC-E3E985D5,formal_large,underground,south_africa,32,11.0,operator,blaster,male,2023-02-24,thursday,1.63,night,5.3,components_parts,other,hit_by_moving,other,torso,permanent_disability,full
129,INC-7E535C27,formal_small,underground,ghana,19,1.0,contractor,laborer,male,2023-07-19,thursday,13.44,morning,5.1,components_parts,walking,struck_by_rock,laceration,hand_finger,fatality,full
130,INC-E468FB3F,formal_large,surface,other,52,10.3,operator,other,male,2021-04-30,tuesday,12.73,morning,8.8,mobile_equipment,other,fall_slip,laceration,torso,restricted_work,partial
131,INC-43613704,artisanal,surface,south_africa,41,10.1,operator,laborer,male,2020-03-18,friday,16.72,evening,4.4,mobile_equipment,other,pit_collapse,contusion,multiple,days_away,none
132,INC-13D359B9,formal_small,surface,zimbabwe,48,11.0,operator,welder,male,2021-12-03,friday,13.32,morning,1.5,haul_truck,other,other,laceration,foot_lower_leg,days_away,full
133,INC-7E8C1B9F,formal_large,surface,drc,45,20.3,contractor,mechanic_repairman,male,2022-06-22,tuesday,12.73,morning,0.0,haul_truck,other,hit_by_moving,fracture,hand_finger,permanent_disability,full
134,INC-2DA3A56B,formal_small,underground,ethiopia,51,33.0,operator,mechanic_repairman,male,2022-02-27,thursday,13.99,morning,7.4,none,drilling,other,fracture,torso,permanent_disability,none
135,INC-6C859F8D,formal_large,surface,south_africa,51,23.0,operator,truck_operator,male,2020-08-15,wednesday,11.45,morning,9.8,components_parts,maintenance_repair,struck_by_object,laceration,foot_lower_leg,temporary_disability,full
136,INC-72F1BA2D,artisanal,surface,tanzania,35,9.6,operator,other,male,2021-01-04,wednesday,9.18,morning,4.2,mobile_equipment,maintenance_repair,other,contusion,hand_finger,days_away,none
137,INC-5C7AD028,formal_small,surface,tanzania,44,23.2,operator,truck_operator,male,2023-08-24,friday,12.5,morning,7.9,mobile_equipment,operating_equipment,other,multiple,foot_lower_leg,fatality,full
138,INC-AA34987A,artisanal,surface,ghana,32,16.0,operator,laborer,female,2024-07-07,wednesday,11.08,morning,2.4,hand_tools,other,pit_collapse,fracture,hand_finger,days_away,none
139,INC-2E04DBFF,formal_large,underground,south_africa,40,18.1,operator,blaster,male,2024-12-06,friday,11.5,morning,0.0,none,other,other,multiple,torso,days_away,full
140,INC-9292E1C2,formal_small,surface,south_africa,39,21.0,operator,laborer,male,2022-07-15,friday,12.36,morning,5.2,mobile_equipment,cleaning_clearing,other,laceration,foot_lower_leg,restricted_work,full
141,INC-E0D7E8F7,formal_small,surface,drc,46,28.0,operator,supervisor,male,2023-02-03,friday,14.84,evening,3.6,mobile_equipment,lifting_lowering,other,amputation,upper_extremity,days_away,full
142,INC-619D39A3,artisanal,surface,ghana,35,13.2,contractor,truck_operator,male,2023-01-12,wednesday,10.67,morning,2.4,components_parts,other,struck_by_object,abrasion,upper_extremity,first_aid,none
143,INC-712A1E75,formal_small,underground,south_africa,56,13.0,operator,driller,male,2021-11-24,saturday,20.23,evening,1.3,none,other,fall_from_height,laceration,hand_finger,days_away,full
